idx,l,r,length
401,352979,353069,91
402,422970,422992,23
403,573750,573852,103
404,689486,689498,13
405,418956,419018,63
406,747856,747976,121
407,532246,532350,105
408,968382,968395,14
409,491894,491999,106
410,305068,305101,34
411,590632,590660,29
412,900256,900345,90
413,275716,275767,52
414,822801,822805,5
415,193663,193773,111
416,663728,663793,66
417,997389,997441,53
418,903251,903348,98
419,792356,792396,41
420,327172,327285,114
421,724657,724690,34
422,926171,926177,7
423,320136,320243,108
424,576475,576475,1
425,646945,647046,102
426,665074,665195,122
427,823566,823678,113
428,601801,601901,101
429,90031,90139,109
430,423347,423354,8
431,707746,707845,100
432,628132,628235,104
433,502495,502561,67
434,174436,174452,17
435,246185,246201,17
436,238606,238630,25
437,499833,499936,104
438,11489,11566,78
439,294115,294212,98
440,58717,58760,44
441,760164,760176,13
442,798667,798752,86
443,921720,921740,21
444,275563,275664,102
445,754172,754196,25
446,592009,592067,59
447,368422,368525,104
448,365293,365419,127
449,773737,773775,39
450,92225,92279,55
451,170607,170696,90
452,914646,914712,67
453,332843,332864,22
454,627717,627730,14
455,520806,520868,63
456,765166,765212,47
457,919079,919105,27
458,117390,117460,71
459,40881,40997,117
460,280078,280182,105
461,127536,127579,44
462,716533,716603,71
463,193098,193140,43
464,384643,384748,106
465,197451,197452,2
466,691214,691327,114
467,196360,196432,73
468,516316,516403,88
469,891366,891387,22
470,899881,899977,97
471,867592,867640,49
472,56775,56856,82
473,329130,329150,21
474,260739,260841,103
475,113056,113154,99
476,167595,167715,121
477,419166,419281,116
478,539979,540094,116
479,717261,717355,95
480,861495,861539,45
481,954773,954852,80
482,496616,496633,18
483,171601,171660,60
484,148968,149057,90
485,452381,452408,28
486,333746,333748,3
487,734694,734761,68
488,597060,597114,55
489,450866,450909,44
490,743397,743467,71
491,905,1032,128
492,635877,635925,49
493,549890,549928,39
494,116510,116517,8
495,59537,59638,102
496,122147,122164,18
497,30883,30962,80
498,814339,814425,87
499,578691,578765,75
500,124814,124856,43
501,555714,555753,40
502,622149,622196,48
503,754885,754938,54
504,740608,740732,125
505,21791,21889,99
506,31474,31540,67
507,220486,220488,3
508,58457,58529,73
509,463148,463163,16
510,973181,973308,128
511,391177,391265,89
512,715056,715178,123
513,225794,225827,34
514,276034,276044,11
515,565729,565772,44
516,454559,454574,16
517,155746,155818,73
518,879364,879421,58
519,717355,717356,2
520,169511,169514,4
521,312949,313041,93
522,49668,49682,15
523,559166,559181,16
524,181562,181673,112
525,28807,28877,71
526,407124,407198,75
527,981757,981861,105
528,813724,813845,122
529,426699,426819,121
530,383081,383186,106
531,102288,102306,19
532,711038,711046,9
533,265684,265735,52
534,956877,956931,55
535,600666,600707,42
536,433629,433631,3
537,6006,6130,125
538,638065,638174,110
539,753505,753595,91
540,373056,373174,119
541,304363,304485,123
542,408213,408213,1
543,273972,274049,78
544,156741,156802,62
545,89121,89135,15
546,840929,840988,60
547,397751,397807,57
548,501696,501760,65
549,377820,377866,47
550,103905,103950,46
551,24305,24337,33
552,133629,133724,96
553,477056,477147,92
554,249613,249700,88
555,99032,99052,21
556,641611,641652,42
557,52034,52161,128
558,964157,964184,28
559,65108,65162,55
560,479529,479531,3
561,109095,109122,28
562,488665,488697,33
563,491009,491018,10
564,490789,490868,80
565,698625,698725,101
566,579002,579106,105
567,610621,610626,6
568,824467,824469,3
569,970491,970529,39
570,598481,598544,64
571,384797,384917,121
572,146624,146734,111
573,730717,730728,12
574,74490,74536,47
575,178297,178397,101
576,423472,423540,69
577,181825,181906,82
578,778846,778958,113
579,60058,60123,66
580,20386,20466,81
581,820395,820497,103
582,545530,545532,3
583,814746,814748,3
584,510221,510284,64
585,986265,986319,55
586,503398,503450,53
587,872609,872657,49
588,909334,909416,83
589,444638,444706,69
590,259449,259569,121
591,185896,185896,1
592,417012,417088,77
593,376396,376476,81
594,994791,994918,128
595,376811,376896,86
596,805351,805357,7
597,175551,175640,90
598,313107,313204,98
599,798732,798784,53
600,802466,802504,39
601,268222,268263,42
602,56487,56574,88
603,634631,634726,96
604,566821,566938,118
605,384164,384217,54
606,902660,902769,110
607,834271,834345,75
608,132634,132638,5
609,445018,445058,41
610,869356,869418,63
611,864867,864934,68
612,81033,81065,33
613,415891,415994,104
614,989875,989896,22
615,425587,425656,70
616,623609,623634,26
617,165177,165204,28
618,835725,835791,67
619,220287,220394,108
620,185065,185102,38
621,789559,789638,80
622,233882,233984,103
623,589703,589818,116
624,397272,397327,56
625,189760,189878,119
626,631496,631617,122
627,158546,158642,97
628,640961,640961,1
629,331696,331706,11
630,79433,79553,121
631,875591,875686,96
632,484102,484199,98
633,935500,935621,122
634,576497,576618,122
635,377054,377135,82
636,363523,363645,123
637,304744,304823,80
638,130199,130205,7
639,97171,97280,110
640,785679,785796,118
641,630951,631000,50
642,127621,127660,40
643,215480,215582,103
644,235133,235221,89
645,753791,753917,127
646,491005,491061,57
647,273699,273711,13
648,941602,941658,57
649,299514,299535,22
650,807155,807221,67
651,660476,660596,121
652,514949,515006,58
653,99288,99406,119
654,227945,228001,57
655,927887,927948,62
656,63672,63732,61
657,116215,116226,12
658,926291,926405,115
659,443342,443442,101
660,756568,756568,1
661,389830,389908,79
662,567193,567300,108
663,998465,998554,90
664,521336,521374,39
665,879971,879991,21
666,288680,288732,53
667,188657,188666,10
668,805596,805707,112
669,816149,816213,65
670,594004,594080,77
671,270715,270727,13
672,49351,49422,72
673,103600,103619,20
674,843740,843758,19
675,636738,636850,113
676,607827,607905,79
677,697533,697579,47
678,834841,834861,21
679,750130,750205,76
680,665924,665994,71
681,81950,82033,84
682,359166,359259,94
683,494901,494911,11
684,406162,406279,118
685,942056,942065,10
686,350769,350810,42
687,393128,393239,112
688,734894,734943,50
689,500088,500215,128
690,970379,970385,7
691,713377,713486,110
692,112341,112346,6
693,994812,994902,91
694,21660,21722,63
695,407171,407196,26
696,429483,429488,6
697,274671,274762,92
698,325763,325858,96
699,119342,119458,117
700,156536,156603,68
701,11294,11357,64
702,580262,580317,56
703,308324,308390,67
704,569622,569697,76
705,259816,259914,99
706,139024,139098,75
707,865693,865781,89
708,558364,558368,5
709,793247,793348,102
710,992033,992131,99
711,661312,661429,118
712,219924,220043,120
713,281572,281644,73
714,26756,26756,1
715,512090,512094,5
716,564893,564985,93
717,437725,437767,43
718,798129,798176,48
719,470828,470842,15
720,899735,899777,43
721,212269,212292,24
722,85679,85699,21
723,898470,898489,20
724,136082,136140,59
725,755993,756115,123
726,685798,685830,33
727,329903,329934,32
728,53194,53237,44
729,594069,594152,84
730,746718,746833,116
731,886316,886382,67
732,859434,859503,70
733,937589,937648,60
734,735808,735930,123
735,433287,433397,111
736,701339,701416,78
737,733798,733811,14
738,585106,585147,42
739,892151,892187,37
740,810451,810521,71
741,69191,69251,61
742,145662,145762,101
743,143400,143518,119
744,201527,201567,41
745,903261,903385,125
746,958344,958412,69
747,629746,629779,34
748,907873,907928,56
749,566748,566871,124
750,109407,109508,102
751,516477,516541,65
752,80426,80440,15
753,584547,584600,54
754,427304,427338,35
755,953635,953644,10
756,344105,344198,94
757,13085,13146,62
758,507900,507961,62
759,997873,997967,95
760,349486,349523,38
761,643137,643264,128
762,928546,928659,114
763,786637,786753,117
764,644966,645086,121
765,914544,914568,25
766,519652,519685,34
767,1845,1953,109
768,708243,708306,64
769,42997,43033,37
770,126412,126462,51
771,247427,247511,85
772,765317,765325,9
773,907559,907635,77
774,500605,500643,39
775,237296,237341,46
776,267469,267592,124
777,327757,327761,5
778,279542,279637,96
779,973724,973810,87
780,688490,688607,118
781,134514,134638,125
782,401756,401868,113
783,523578,523662,85
784,498433,498491,59
785,293679,293711,33
786,165304,165400,97
787,270280,270283,4
788,291441,291523,83
789,604890,604985,96
790,831550,831569,20
791,142939,142990,52
792,532744,532756,13
793,678892,678975,84
794,389929,389984,56
795,863897,863993,97
796,105464,105510,47
797,291653,291718,66
798,813073,813127,55
799,525796,525841,46
800,926090,926214,125
801,867674,867792,119
802,159325,159343,19
803,589143,589143,1
804,979747,979814,68
805,496529,496586,58
806,233444,233463,20
807,71989,72099,111
808,781035,781139,105
809,268346,268473,128
810,143529,143587,59
811,822827,822945,119
812,26524,26624,101
813,872366,872403,38
814,528167,528248,82
815,281009,281077,69
816,213629,213671,43
817,811400,811434,35
818,372274,372376,103
819,967592,967675,84
820,679413,679460,48
821,85002,85014,13
822,472014,472038,25
823,79578,79646,69
824,257536,257593,58
825,145132,145133,2
826,273486,273515,30
827,239082,239204,123
828,549015,549123,109
829,708243,708326,84
830,114973,115097,125
831,704707,704801,95
832,208966,209083,118
833,690997,691019,23
834,212421,212542,122
835,119765,119865,101
836,77334,77373,40
837,4167,4209,43
838,328263,328299,37
839,706772,706831,60
840,319204,319264,61
841,325209,325330,122
842,128822,128843,22
843,702497,702579,83
844,753777,753811,35
845,529267,529335,69
846,35502,35625,124
847,688513,688610,98
848,220404,220490,87
849,914143,914252,110
850,71027,71060,34
851,471731,471796,66
852,869427,869477,51
853,314434,314527,94
854,472671,472715,45
855,510717,510769,53
856,66077,66181,105
857,354881,354953,73
858,296813,296833,21
859,573438,573478,41
860,444607,444628,22
861,625152,625157,6
862,857011,857012,2
863,423841,423873,33
864,495111,495197,87
865,267396,267508,113
866,990203,990308,106
867,296963,297018,56
868,483454,483574,121
869,7880,7957,78
870,237561,237647,87
871,353122,353227,106
872,563006,563070,65
873,757331,757416,86
874,89247,89337,91
875,146236,146262,27
876,44436,44528,93
877,408015,408043,29
878,673414,673435,22
879,10060,10100,41
880,829456,829517,62
881,703524,703566,43
882,386467,386546,80
883,41656,41778,123
884,850399,850431,33
885,140520,140593,74
886,165609,165664,56
887,196098,196208,111
888,624609,624725,117
889,482063,482114,52
890,645279,645375,97
891,276983,276983,1
892,808697,808735,39
893,173106,173141,36
894,783569,783683,115
895,983623,983706,84
896,801537,801544,8
897,284570,284572,3
898,187309,187352,44
899,248705,248716,12
900,794098,794206,109
901,314288,314361,74
902,665347,665412,66
903,214715,214829,115
904,879390,879472,83
905,825775,825881,107
906,347213,347340,128
907,201718,201756,39
908,318302,318315,14
909,809873,809953,81
910,575710,575806,97
911,81550,81574,25
912,538545,538576,32
913,80178,80286,109
914,417287,417344,58
915,360116,360206,91
916,526534,526584,51
917,126895,126981,87
918,361005,361017,13
919,544753,544814,62
920,660887,660990,104
921,980896,980950,55
922,491395,491506,112
923,144328,144405,78
924,153015,153083,69
925,148150,148186,37
926,721629,721713,85
927,359182,359206,25
928,235691,235714,24
929,875385,875439,55
930,962688,962699,12
931,64841,64916,76
932,16067,16131,65
933,9356,9475,120
934,425577,425616,40
935,861909,861956,48
936,678148,678264,117
937,852050,852149,100
938,814654,814776,123
939,296926,296959,34
940,445683,445725,43
941,849616,849729,114
942,259550,259634,85
943,342382,342402,21
944,759218,759254,37
945,123605,123637,33
946,22514,22553,40
947,341175,341234,60
948,106630,106723,94
949,197211,197296,86
950,368432,368523,92
951,580572,580671,100
952,383234,383317,84
953,112333,112439,107
954,950000,950049,50
955,238423,238510,88
956,932593,932625,33
957,369424,369542,119
958,317650,317720,71
959,379858,379867,10
960,264120,264191,72
961,562351,562354,4
962,379462,379507,46
963,453442,453472,31
964,239846,239912,67
965,693783,693820,38
966,113076,113133,58
967,620976,621006,31
968,700579,700615,37
969,411465,411527,63
970,191007,191034,28
971,10950,11026,77
972,568694,568696,3
973,691481,691585,105
974,909770,909779,10
975,727641,727663,23
976,925473,925550,78
977,222581,222662,82
978,75201,75266,66
979,30190,30265,76
980,375336,375422,87
981,477884,477942,59
982,172973,173063,91
983,381249,381343,95
984,690240,690262,23
985,661632,661698,67
986,586811,586907,97
987,683059,683128,70
988,193162,193280,119
989,913712,913827,116
990,67126,67143,18
991,342198,342263,66
992,301461,301518,58
993,212192,212224,33
994,155659,155703,45
995,347392,347423,32
996,94020,94053,34
997,28241,28323,83
998,301458,301499,42
999,410896,410986,91
1000,985223,985238,16
1001,715496,715616,121
1002,371489,371504,16
1003,588327,588441,115
1004,591355,591365,11
1005,868950,869042,93
1006,689385,689431,47
1007,46898,46944,47
1008,265772,265879,108
1009,317429,317449,21
1010,647145,647156,12
1011,730110,730131,22
1012,804969,805003,35
1013,731299,731324,26
1014,519492,519564,73
1015,398509,398613,105
1016,585511,585635,125
1017,452541,452636,96
1018,859539,859559,21
1019,953896,953928,33
1020,816571,816695,125
1021,309312,309335,24
1022,10434,10457,24
1023,219587,219686,100
1024,248741,248793,53
1025,205432,205432,1
1026,17702,17713,12
1027,454606,454684,79
1028,400483,400581,99
1029,641659,641684,26
1030,522580,522632,53
1031,359549,359615,67
1032,17165,17185,21
1033,152850,152972,123
1034,836267,836291,25
1035,355088,355127,40
1036,811858,811949,92
1037,946612,946677,66
1038,485646,485758,113
1039,217014,217048,35
1040,8307,8332,26
1041,180901,180981,81
1042,17787,17808,22
1043,927097,927141,45
1044,504033,504092,60
1045,377795,377887,93
1046,761130,761186,57
1047,641707,641711,5
1048,331327,331448,122
1049,197098,197132,35
1050,793935,793974,40
1051,486896,486942,47
1052,538329,538349,21
1053,588283,588373,91
1054,902013,902113,101
1055,607473,607560,88
1056,682094,682133,40
1057,909455,909463,9
1058,281999,282112,114
1059,247864,247870,7
1060,894127,894214,88
1061,94990,95074,85
1062,614238,614273,36
1063,192309,192430,122
1064,195425,195507,83
1065,353297,353335,39
1066,771632,771734,103
1067,112622,112626,5
1068,537138,537139,2
1069,230924,231041,118
1070,821109,821167,59
1071,168643,168694,52
1072,280278,280294,17
1073,558741,558761,21
1074,872657,872697,41
1075,691908,692027,120
1076,821691,821758,68
1077,339321,339413,93
1078,86479,86492,14
1079,417961,417963,3
1080,362542,362648,107
1081,531001,531113,113
1082,782034,782035,2
1083,639701,639800,100
1084,357947,358050,104
1085,504079,504121,43
1086,352655,352703,49
1087,675416,675535,120
1088,153978,154052,75
1089,824688,824693,6
1090,483828,483845,18
1091,803679,803798,120
1092,951552,951647,96
1093,43549,43587,39
1094,887278,887403,126
1095,940424,940433,10
1096,506410,506489,80
1097,445781,445815,35
1098,361497,361578,82
1099,511598,511602,5
1100,485462,485547,86
1101,595056,595092,37
1102,270945,271046,102
1103,308026,308107,82
1104,314555,314630,76
1105,507911,507945,35
1106,358542,358596,55
1107,644927,645010,84
1108,801394,801469,76
1109,584728,584756,29
1110,717872,717874,3
1111,476124,476178,55
1112,165463,165471,9
1113,309554,309657,104
1114,562051,562130,80
1115,775008,775051,44
1116,631043,631092,50
1117,657605,657728,124
1118,975699,975769,71
1119,361932,361974,43
1120,183402,183527,126
1121,119401,119483,83
1122,470172,470267,96
1123,806729,806843,115
1124,892195,892240,46
1125,784205,784264,60
1126,658610,658705,96
1127,262302,262395,94
1128,233728,233822,95
1129,482416,482515,100
1130,574738,574815,78
1131,397069,397159,91
1132,797451,797569,119
1133,148278,148363,86
1134,155325,155418,94
1135,583448,583481,34
1136,202815,202823,9
1137,359055,359116,62
1138,337813,337936,124
1139,419440,419523,84
1140,766569,766578,10
1141,64875,64965,91
1142,821168,821274,107
1143,268943,268963,21
1144,204530,204559,30
1145,89122,89217,96
1146,710310,710370,61
1147,412477,412596,120
1148,957103,957166,64
1149,393324,393339,16
1150,362297,362324,28
1151,254993,255004,12
1152,255746,255780,35
1153,875228,875243,16
1154,725922,725969,48
1155,210029,210122,94
1156,819987,820004,18
1157,850269,850318,50
1158,126240,126279,40
1159,644875,644954,80
1160,44974,44981,8
1161,762055,762058,4
1162,180348,180435,88
1163,144846,144913,68
1164,641882,641945,64
1165,739196,739244,49
1166,144373,144439,67
1167,671078,671078,1
1168,399497,399618,122
1169,821979,821990,12
1170,166596,166630,35
1171,109030,109149,120
1172,929313,929374,62
1173,178147,178152,6
1174,189541,189624,84
1175,113183,113217,35
1176,991568,991682,115
1177,443279,443288,10
1178,360699,360821,123
1179,491267,491350,84
1180,431998,432108,111
1181,504755,504842,88
1182,540504,540554,51
1183,466404,466440,37
1184,825506,825572,67
1185,925040,925103,64
1186,212821,212877,57
1187,244397,244448,52
1188,348038,348086,49
1189,126362,126448,87
1190,331840,331885,46
1191,652718,652730,13
1192,21365,21396,32
1193,764142,764154,13
1194,378393,378415,23
1195,385038,385142,105
1196,480716,480826,111
1197,447280,447301,22
1198,600660,600752,93
1199,736926,737026,101
1200,641803,641892,90
1201,624448,624553,106
1202,719932,720038,107
1203,536456,536473,18
1204,532210,532211,2
1205,749815,749897,83
1206,331754,331866,113
1207,265399,265482,84
1208,993172,993230,59
1209,269083,269112,30
1210,489888,489977,90
1211,891985,891990,6
1212,421481,421536,56
1213,496224,496323,100
1214,121933,121941,9
1215,721050,721105,56
1216,119556,119655,100
1217,427730,427839,110
1218,125723,125844,122
1219,812604,812721,118
1220,973185,973245,61
1221,277412,277417,6
1222,398382,398489,108
1223,188938,188996,59
1224,363858,363899,42
1225,442533,442535,3
1226,935352,935449,98
1227,865086,865132,47
1228,923413,923523,111
1229,668250,668332,83
1230,245410,245464,55
1231,318004,318075,72
1232,358452,358512,61
1233,422196,422201,6
1234,787265,787297,33
1235,212271,212362,92
1236,446571,446688,118
1237,424464,424483,20
1238,430635,430651,17
1239,488742,488859,118
1240,199379,199475,97
1241,508539,508617,79
1242,280331,280354,24
1243,747369,747468,100
1244,906713,906728,16
1245,483756,483778,23
1246,497276,497362,87
1247,408998,409022,25
1248,412566,412568,3
1249,281818,281895,78
1250,415205,415271,67
1251,648581,648654,74
1252,316462,316588,127
1253,42636,42711,76
1254,281080,281106,27
1255,981667,981770,104
1256,877821,877932,112
1257,732077,732121,45
1258,444523,444577,55
1259,658985,659018,34
1260,678016,678140,125
1261,888836,888849,14
1262,199576,199694,119
1263,785173,785174,2
1264,798041,798151,111
1265,434002,434007,6
1266,324011,324122,112
1267,467022,467093,72
1268,694316,694410,95
1269,694706,694715,10
1270,452574,452615,42
1271,465875,465970,96
1272,352213,352262,50
1273,350406,350528,123
1274,532814,532889,76
1275,102464,102497,34
1276,920928,920951,24
1277,568319,568391,73
1278,929298,929382,85
1279,938133,938245,113
1280,458748,458836,89
1281,945869,945965,97
1282,607926,607963,38
1283,737241,737365,125
1284,46880,46942,63
1285,661741,661743,3
1286,573001,573038,38
1287,145210,145325,116
1288,593926,594006,81
1289,405685,405760,76
1290,31922,31971,50
1291,481639,481649,11
1292,10944,11008,65
1293,909750,909810,61
1294,539590,539681,92
1295,399430,399430,1
1296,53791,53824,34
1297,740900,740938,39
1298,516428,516435,8
1299,127148,127265,118
1300,350791,350844,54
1301,529106,529218,113
1302,398701,398776,76
1303,94606,94651,46
1304,140070,140169,100
1305,443768,443772,5
1306,955772,955839,68
1307,820832,820894,63
1308,564259,564319,61
1309,946310,946387,78
1310,537347,537387,41
1311,189529,189610,82
1312,303086,303158,73
1313,588498,588562,65
1314,520509,520592,84
1315,803859,803877,19
1316,972149,972245,97
1317,164593,164602,10
1318,856212,856217,6
1319,453238,453306,69
1320,668650,668657,8
1321,490114,490156,43
1322,443694,443783,90
1323,328477,328603,127
1324,173510,173549,40
1325,763801,763896,96
1326,10821,10909,89
1327,829901,829995,95
1328,478875,478981,107
1329,350100,350200,101
1330,100641,100755,115
1331,435862,435866,5
1332,240462,240579,118
1333,115525,115545,21
1334,910093,910162,70
1335,322694,322732,39
1336,919374,919396,23
1337,949600,949654,55
1338,678470,678565,96
1339,540525,540566,42
1340,716606,716729,124
1341,462626,462676,51
1342,391973,392048,76
1343,906230,906273,44
1344,455035,455106,72
1345,513344,513357,14
1346,616738,616738,1
1347,226666,226785,120
1348,826215,826319,105
1349,121385,121425,41
1350,445213,445331,119
1351,343492,343510,19
1352,361944,362060,117
1353,458323,458448,126
1354,254344,254428,85
1355,555981,556107,127
1356,154607,154695,89
1357,43628,43705,78
1358,36671,36775,105
1359,626707,626775,69
1360,460468,460545,78
1361,678573,678594,22
